#Mesh size, e_breakdown_probability solve_bvp, e_breakdown_probability Newton, h_breakdown_probability solve_bvp, h_breakdown_probability Newton
4.605170185988091802e+00,-1.267245159697840862e+01,-9.380131462092016648e+00,-1.304488919421826054e+01,-9.995669777713519721e+00
5.293304824724492263e+00,-1.405475862045001634e+01,-1.006770882564905101e+01,-1.442478725748280333e+01,-1.069732908520047765e+01
5.986452005284437661e+00,-1.544466022676729722e+01,-1.076321743448270851e+01,-1.581595559157136854e+01,-1.139362894554716732e+01
6.677083461247136142e+00,-1.681470161748476499e+01,-1.145595253514984257e+01,-1.719300270567686439e+01,-1.208482675275421236e+01
7.367708572374371379e+00,-1.802100302896106498e+01,-1.214865226792713315e+01,-1.846068961033703815e+01,-1.277611503042851204e+01
8.058960017769416950e+00,-1.853173670980803323e+01,-1.284158738839882652e+01,-1.912131966362310465e+01,-1.346961457732831668e+01
8.749732464370810092e+00,-1.859099701598734455e+01,-1.353638967603605359e+01,-1.921615919933469740e+01,-1.416278494488193296e+01
9.440578695766259187e+00,-1.859499099371866038e+01,-1.423270029750571375e+01,-1.922280356364022325e+01,-1.486116664269895793e+01
1.013133999957807241e+01,-1.859524686963986184e+01,-1.493639183923058056e+01,-1.922323036017805364e+01,-1.556462448937204890e+01
1.082213550398396151e+01,-1.859526287916646226e+01,-1.565322197644931457e+01,-1.922325705254264250e+01,-1.628137792195290956e+01
1.151292546497022862e+01,-1.859526284034264876e+01,-1.639798587828337162e+01,-1.922325758337450807e+01,-1.702609221152250996e+01
